scenario,eirp_dbm,interferer_count,mean_signal_dbm,mean_interference_dbm,noise_dbm
baseline,55.0,0,-102.16379373114958,-300.0,-100.0102999566398
baseline,55.0,5,-102.16379373114958,-98.60106936571536,-100.0102999566398
baseline,55.0,20,-102.16379373114958,-92.5993186861428,-100.0102999566398
baseline,55.0,50,-102.16379373114958,-88.5936545901844,-100.0102999566398
activity_reduction,55.0,0,-102.16379373114958,-300.0,-100.01029995663981
activity_reduction,55.0,5,-102.16379373114958,-101.61511575888724,-100.01029995663981
activity_reduction,55.0,20,-102.16379373114958,-95.62448692527968,-100.01029995663981
activity_reduction,55.0,50,-102.16379373114958,-91.61286619320371,-100.01029995663981
beam_discrimination,55.0,0,-102.16379373114958,-300.0,-100.01029995663981
beam_discrimination,55.0,5,-102.16379373114958,-108.60106936571535,-100.01029995663981
beam_discrimination,55.0,20,-102.16379373114958,-102.5993186861428,-100.01029995663981
beam_discrimination,55.0,50,-102.16379373114958,-98.5936545901844,-100.01029995663981
