sweep,value,eirp_dbm,interferer_count,mean_sinr_db,median_sinr_db,outage_probability,mean_signal_dbm,mean_interference_dbm,noise_dbm
altitude_km,600.0,60.0,20,-9.66193732415292,-9.646922698290432,1.0,-97.18574328190643,-87.56901563220964,-100.01029995663981
altitude_km,900.0,60.0,20,-10.514111931657427,-10.488919960491803,1.0,-100.63402529705286,-90.41059262819223,-100.01029995663981
altitude_km,1200.0,60.0,20,-11.215048827070389,-11.175771637580153,1.0,-103.04689565475248,-92.38485784391995,-100.01029995663981
bandwidth_mhz,5.0,60.0,20,-9.601269448087173,-9.588518239148298,1.0,-97.12925216115364,-87.56835190542317,-100.01029995663981
bandwidth_mhz,10.0,60.0,20,-9.878817044635184,-9.86956876196058,1.0,-97.19148245826983,-87.61427260456195,-97.0
bandwidth_mhz,20.0,60.0,20,-10.342828087302623,-10.345865159905536,1.0,-97.18421411589888,-87.59320246249742,-93.98970004336019
beam_discrimination_db,0.0,60.0,20,-9.628996883541566,-9.597980781775892,0.9999,-97.16686701126648,-87.58577580284815,-100.01029995663981
beam_discrimination_db,5.0,60.0,20,-5.122802941352949,-5.107892969245854,0.984,-97.13047359700403,-92.56649054314244,-100.01029995663981
beam_discrimination_db,10.0,60.0,20,-1.4752962370371159,-1.469744610177536,0.7545,-97.18401784752442,-97.58317501235521,-100.01029995663981
beam_discrimination_db,15.0,60.0,20,0.9830845483839321,1.0112495001087902,0.3089,-97.14633286919782,-102.58942135045476,-100.01029995663981
